Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2017-09-01,17037,"DeKalb, IL",592,,189900,0.0005,0.1177,601,-0.043,-0.088,63,-0.0308,-0.137,144,-0.0137,0.1077,2,0,-0.5,126,-0.2588,-0.1486,27,0.0385,-0.1,214200,-0.0083,0.0474,628,-0.0398,-0.0885,0.0449,0.0035,-0.0006
2017-09-01,42097,"Northumberland, PA",593,,95000,-0.0385,-0.0452,472,-0.0126,-0.0348,98,0.0316,-0.0297,70,-0.1463,-0.1667,0,-1,-1,74,-0.0263,0,3,0,-0.25,125600,-0.0218,-0.0346,475,-0.0125,-0.0365,0.0064,0.0001,-0.0018
2017-09-01,19061,"Dubuque, IA",594,,226200,0.0875,0.3464,298,-0.1486,-0.3348,57,0.0556,-0.0172,96,-0.1111,0.0435,0,-1,,92,0.0952,-0.2069,0,,,251100,0.0117,0.1429,298,-0.1486,-0.3348,0,0,0
2017-09-01,16019,"Bonneville, ID",595,,236200,-0.0117,0.2432,431,0.0616,-0.1582,47,0.175,-0.1897,206,0.0198,0.0619,4,-0.7143,-0.7143,172,0.0238,0.0118,0,,-1,308000,0.001,0.1957,431,0.0616,-0.1615,0,0,-0.0039
2017-09-01,51161,"Roanoke, VA",596,,230500,0.0022,0.0154,509,-0.0486,-0.179,76,0.0411,0.0411,116,-0.2468,-0.3895,8,0.3333,0.3333,156,-0.0488,-0.0602,1,-0.5,0,278900,-0.0036,0.0138,510,-0.0503,-0.1787,0.002,-0.0018,0.0004
2017-09-01,48257,"Kaufman, TX",597,,249100,0.0061,0.056,556,-0.0018,0.3831,45,-0.1176,-0.1818,238,-0.0165,0.4691,48,0.3333,11,236,0.4217,1.5106,225,0.0135,0.0563,285000,-0.0087,0.0293,781,0.0026,0.2699,0.4047,0.0061,-0.1252
2017-09-01,24045,"Wicomico, MD",598,,159900,-0.0031,-0.0425,405,0.0305,-0.233,81,0.0253,-0.198,116,0.2889,0.16,2,,-0.5,100,-0.0196,-0.1803,175,-0.1422,-0.2257,196000,-0.022,0.0077,580,-0.0285,-0.2308,0.4321,-0.087,0.0041
2017-09-01,42001,"Adams, PA",599,,245000,-0.0069,0.1228,631,-0.0292,-0.1664,88,0.0233,-0.0638,156,0.1143,-0.037,8,-0.5556,0,138,-0.2247,-0.1154,34,-0.1707,-0.1905,304000,0.0103,0.1692,665,-0.0376,-0.1677,0.0539,-0.0092,-0.0016
2017-09-01,37045,"Cleveland, NC",600,,136800,-0.0158,-0.0624,433,-0.0463,-0.1815,93,-0.0313,-0.2314,108,-0.1148,0.1739,2,0,0,84,0.1351,0.5,47,-0.1455,0.119,192300,-0.0244,-0.0113,480,-0.057,-0.1594,0.1085,-0.0126,0.0291
2017-09-01,39007,"Ashtabula, OH",601,*,113700,0.029,0.0374,514,0.0178,-0.1841,75,0.0274,-0.2268,110,-0.2143,0.1702,2,-0.5,,108,0.102,-0.1148,102,-0.0893,,142700,0.0099,0.0516,616,-0.0016,-0.0222,0.1984,-0.0233,0.1984
